,P1,P10,P2,P3,P4,P5,P6,P7,P8,P9
ENSMUSG00000000001,1755,1226,2333,1330,1507,1287,1081,853,1108,1038
ENSMUSG00000000003,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,102,43,122,60,57,76,40,48,17,27
ENSMUSG00000000031,3,2,0,2,1,7,0,1,0,0
ENSMUSG00000000037,4,11,12,15,7,8,8,13,7,7
ENSMUSG00000000049,4,0,24,3,11,5,0,0,2,4
ENSMUSG00000000056,505,194,541,239,277,240,180,146,157,161
ENSMUSG00000000058,65,95,29,97,92,85,81,54,70,90
ENSMUSG00000000078,1031,575,1024,599,576,533,589,340,438,901
ENSMUSG00000000085,176.9994809,473,276.0106303,457.5501946,482,465.1364687,457,449,453.9146328,341
ENSMUSG00000000088,2023,390,3324,762,625,1083,508,207,334,332
ENSMUSG00000000093,2,55,10,27,76,41,42,44,37,57
ENSMUSG00000000094,2,0,1,0,1,0,0,0,0,0
ENSMUSG00000000103,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,74.09416782,39.15560608,9.02732572,27.20417395,16.03452969,37.03403637,14.00369461,26.16771405,10.0429169,23.10496617
ENSMUSG00000000125,9,1,12,4,9,7,4,1,3,0
ENSMUSG00000000126,13,33,3,10,16,14,33,18,26,54
ENSMUSG00000000127,87,176,149,172,205,141,162,144,157,130
ENSMUSG00000000131,875.009527,1043.716977,929.5092561,900.0743761,1188.816018,843.2284062,942.2802055,846.7167072,794.1692259,786.9698825
ENSMUSG00000000134,376,552,475,483,566,542,488,398,429,440
ENSMUSG00000000142,201,138,576,139,175,151,94,62,104,94
ENSMUSG00000000148,148,255,214,188,258,234,220,167,163,178
ENSMUSG00000000149,288,703,335,526,779,661,587,513,590,468
ENSMUSG00000000154,780,49,1068,235,203,281,48,19,29,22
ENSMUSG00000000157,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000000159,411,110,652,195,190,184,147,100,96,62
ENSMUSG00000000167,14,34,15,23,38,42,48,32,49,26
ENSMUSG00000000168,774,584,1308,611,674,632,487,491,561,445
ENSMUSG00000000171,3258,1177,5078,1542,1679,2039,1285,922,1189,997
ENSMUSG00000000182,10,1,0,0,1,1,0,1,0,1
ENSMUSG00000000183,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000184,2561,15599,4358,10598,14945,8994,11866,12075,13579,10085
ENSMUSG00000000194,1028.587283,913.0249861,1533.212817,904.4860702,1148.030625,977.1829932,792,757.2466304,883.2702848,640.2747396
ENSMUSG00000000197,45,610,147,471,631,349,492,504.0000896,646,422
ENSMUSG00000000202,5,124,31,97,154,138,118,99,110,56
ENSMUSG00000000204,21,4,150,15,26,27.02936195,6,5,2,5
ENSMUSG00000000214,9,191,79,190,314,355,267,205,193,135
ENSMUSG00000000215,84615.3947,1988892.363,434833.813,1596491.686,2671124.082,2543365.006,2150594.375,1846359.17,1996151.393,1322605.375
ENSMUSG00000000216,8,256,48,126,249,125,298,305,361,357
ENSMUSG00000000223,3.00011356,8.000141128,4.000051374,0,6,1.000021511,4.000059558,1.000013099,2.000082076,7.000630671
ENSMUSG00000000244,196.5432803,81.07559329,0,67.14374221,54.04728536,128.1472138,19.06459271,40.05889209,32.32923887,34.83011538
ENSMUSG00000000247,2,0,0,1,1,0,0,0,0,0
ENSMUSG00000000248,32,3,1,2,4,9,0,0,0,1
ENSMUSG00000000253,70,740,184,602,899,704,632,514,702,565
ENSMUSG00000000263,1,11,1,14,4,5,2,7,9,1
ENSMUSG00000000266,378.0002257,893,449,693,881,474,658.0000888,706.0208307,904.1034693,615
ENSMUSG00000000275,1169.072435,1319.439152,3118.801445,1367.648955,1536.46595,1252.044899,1273.687977,1067.024183,1270.155099,937.6956676
ENSMUSG00000000276,138.1138872,1043.092301,221.2649472,629.1062214,848.8780091,497.3109894,760.5627995,829.0717516,990,703.0866686
ENSMUSG00000000278,542,827,605,760,1012,911,741,646,795,628
ENSMUSG00000000282,329,646,354,520,757,444,603,432,443,516
ENSMUSG00000000290,1154,430,76,379,497,819,494,185,302,411
ENSMUSG00000000295,79,49,74,61,54,57,58,50,50,42
ENSMUSG00000000296,33,114,86,85,141,116,91,79,105,91
ENSMUSG00000000301,15,32,40,23,48,47,22,19,25,20
ENSMUSG00000000303,4882.941638,3834,9806,4239,5043,4153,3625.658228,3068,3668,2980
ENSMUSG00000000305,18,92,34,138,213,106,125,94,122,86
ENSMUSG00000000308,11713,437,19697,3440,2239,3757,787,292,611,199
ENSMUSG00000000317,23,110,45,115,162,191,131,90,84,70
ENSMUSG00000000318,23,92.3674291,10,63,53.48319226,103.5502163,151.3987623,24.90636414,44.22786948,73.47179564
ENSMUSG00000000320,10.119605,22,11.00073547,29,37.16350375,35,23.15367882,17,9.000076696,11.10352528
ENSMUSG00000000326,997.6940852,1001.423301,1828.099026,995.3746761,1351.014235,1247.521422,978.0738482,731.9232729,803.9231582,695.5584049
ENSMUSG00000000339,263,164,382,198,204,234,178,142,144,143
ENSMUSG00000000340,437.7950081,284.5590574,487.6829655,255.5042178,336.0831139,230.5512945,220.6875367,245.6121673,282.7299829,280.2742454
ENSMUSG00000000346,3002,1745,3567,2026,2203,2119,1509,1281.684192,1486,1436
ENSMUSG00000000355,253,229,253,189,252,262,227,200,198,183
ENSMUSG00000000359,14,17,2,5,7,19,13,6,2,14
ENSMUSG00000000365,1,0,1,4,5,5,5,3,2,1
ENSMUSG00000000374,1364,1302,2002,1189,1419,1131,1025,923,1018,999
ENSMUSG00000000378,506,379,240,359,431,536,387,241,308,291
ENSMUSG00000000381,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000384,714.6272538,261,1089.499921,301,307.0998312,434,315.9689846,216,225.2372911,262.3756276
ENSMUSG00000000385,1623,137,2923,550,479,667,233,135,135,123
ENSMUSG00000000386,36.85304797,21.25646498,77.64973007,23,21.22696317,28.72582225,9,8,9,8
ENSMUSG00000000392,13,3,6,10,10,5,2,3,1,6
ENSMUSG00000000394,6588,92722,32675,95336,140548,303991,99932,72307,59371,63130
ENSMUSG00000000399,1311.002741,506.0005519,2133,706,723.0017019,906.0047629,563.0030102,385,483,451
ENSMUSG00000000402,1.000056708,1.000051756,4.012880456,4.000310904,3.000371533,8.000655881,2.001730732,5.000573535,6.000421029,6.000571945
ENSMUSG00000000409,1241,124,70,179,137,267,22,33,17,86
ENSMUSG00000000411,0,0,0,0,0,2,0,1,1,1
ENSMUSG00000000416,31,494,138,283,392,229,342,385,408,326
ENSMUSG00000000420,2101,1302,2730,1519,1582,1357,1070,946,1152,1022
ENSMUSG00000000435,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000439,244.0003207,351.0003583,336.0006654,255,361,315,262,241,316.0001071,262.0002254
ENSMUSG00000000440,227,108,368,140,173,177,132,94,102,77
ENSMUSG00000000441,1243,779,1418,813,917,817,698,537,575,631
ENSMUSG00000000486,909,211,46,201,156,336,35,50,41,166
ENSMUSG00000000489,72,171,39,104,169,134,156,81,93,116
ENSMUSG00000000530,127,209,56,121,246,222,208,133,125,127
ENSMUSG00000000531,26.10594688,62.00436051,38.98563034,45.01341601,76.49601727,80.00890757,69.00801061,80.01247205,73.81148009,60.00777352
ENSMUSG00000000532,634,633,1063,538,650,515,485,408,497,419
ENSMUSG00000000538,870,1390,1313,1175,1777,1114,1258,1078,1255,1033
ENSMUSG00000000544,2909,191,5447,1032,862,1069,207,59,158,63
ENSMUSG00000000552,98,89,16,59,90,143,62,33,44,55
ENSMUSG00000000555,75,100,48.30814687,69,75,116,156,81,64,146
ENSMUSG00000000560,15.25020869,2,17.75388998,6.812451747,3.000070053,4.000419104,4.000837475,0,5.099820466,0
ENSMUSG00000000561,338.8821999,406.9910963,466.912594,394.9729151,465.5981873,479,409,316,359.2925589,324.4799329
ENSMUSG00000000562,6.461628605,13.0885157,12,9,15,20.4855246,12.53648793,6.978760068,7.000276033,6.198092275
ENSMUSG00000000563,4161,1568,6413,2107,2198,2688,1686,1173,1497.917705,1264
ENSMUSG00000000567,123,45,422,96,88.42902601,62,80,16,17,60
ENSMUSG00000000568,887.020965,743.0294117,1037.023929,702.0221919,859.0539266,835.0228469,595.0417437,552.0118299,636.6708114,597.0178926
ENSMUSG00000000579,84.37614171,151.8757729,96.27801961,102.7883841,157.0240196,118.0143091,164.3837161,176.0818112,117.2640103,119.9498671
ENSMUSG00000000581,327,304,473,279,319,327,194,208,252,211
ENSMUSG00000000594,803,642,314,568,695,931,529,303,401,466
ENSMUSG00000000600,332.6646013,628.4022516,358.0511144,401.0862263,564.6588265,394,443.7152018,437.4320783,490.9007175,425.5332045
ENSMUSG00000000605,781,996.5886773,847,741,1047,779,689,697,770,671
ENSMUSG00000000606,0,1.070969722,0,1,1,0,1.022089274,0,1,0
ENSMUSG00000000617,4,2,0,0,3,3,0,0,1,0
ENSMUSG00000000627,49.04769379,67.108861,10.00652425,31.02764952,62.00258692,59.04829361,56.04500045,29.01396197,28.00048308,32.00052193
ENSMUSG00000000628,138,52,188,45,36,56.01056081,69,36.24299994,33,101.0088298
ENSMUSG00000000631,1574.009807,1424.011674,2273.987188,1502.013557,1982.014554,1495.005134,1263.018504,1157.020478,1333.00116,1116.005762
ENSMUSG00000000632,3,12,4,18,21,3,6,20,10,6
ENSMUSG00000000673,54,37,9,35.79439501,29,91.01689533,13,10,23,24
ENSMUSG00000000682,1506,432,80,487,405,1021,111,100,119,352
ENSMUSG00000000686,50,688,120,397,525,251,515,454,558,390
ENSMUSG00000000690,3,4,0,1,11.00475645,2,5,5.006234039,1,3
ENSMUSG00000000693,10,14,10,20,17,23,11,8,5,11
ENSMUSG00000000701,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000706,0,0,2.000087766,0,1.000095941,0,0,0,2.028338721,0
ENSMUSG00000000708,443,838,605,772,947,632,710,720,813,650
ENSMUSG00000000711,1239,1855,1295,1406,2055,1461,1567,1332,1744,1406
ENSMUSG00000000724,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000730,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000000731,13,2,3,3,4.004674849,4.62516683,1,0,1,1
ENSMUSG00000000732,326,158,74,226,135,204,79,76,79,116
ENSMUSG00000000738,595,519,1123.025487,545,704,733,523,404,446.0173109,372.091752
ENSMUSG00000000739,11.73934381,3.874474471,3.000192268,2.000403857,5.781914509,3,9.91E-06,4.02333186,4.000443091,2
ENSMUSG00000000740,4740.892618,2822.324437,4292.322786,2991.239572,3095.635868,4571.509323,3724.416689,1832.737259,2307.765328,3401.591473
ENSMUSG00000000743,1104,910,1547,802,1041,1012,801,609,770,633
ENSMUSG00000000751,680,1147,591,943,1190,1072,929,823,989,777
ENSMUSG00000000753,38,61,5,20,41,91,32,12,17,39
ENSMUSG00000000759,309,453.4542366,405,358,468,336,330,394,341,359.6095223
ENSMUSG00000000766,0,3,0,1,0,1,2,2,4,2
ENSMUSG00000000776,133,292,170,262,377,276,305,228,287,282
